,Year,G#,Week,Age,Tm,Home,Opp,Att,Cmp%,Sk,Ru_Att,RANK,Dome,Total
0,2017,1.0,1.0,40.035,NWE,1.0,KAN,36.0,44.44,3.0,2.0,15,0,10.68
1,2017,2.0,2.0,40.045,NWE,0.0,NOR,39.0,76.92,2.0,2.0,10,1,31.779999999999998
2,2017,3.0,3.0,40.052,NWE,1.0,HOU,35.0,71.43,5.0,1.0,32,1,36.72
3,2017,4.0,4.0,40.059,NWE,1.0,CAR,45.0,71.11,3.0,1.0,11,0,20.48
4,2017,5.0,5.0,40.063,NWE,0.0,TAM,40.0,75.0,3.0,2.0,23,0,14.619999999999997
5,2017,6.0,6.0,40.073,NWE,0.0,NYJ,38.0,52.63,0.0,1.0,23,0,16.18
6,2017,16.0,17.0,40.15,NWE,1.0,NYJ,37.0,48.65,2.0,0.0,23,0,15.6
7,2017,7.0,7.0,40.08,NWE,1.0,ATL,29.0,72.41,2.0,5.0,8,1,19.46
8,2017,8.0,8.0,40.087,NWE,1.0,LAC,47.0,68.09,3.0,1.0,3,1,18.52
9,2017,9.0,10.0,40.101,NWE,0.0,DEN,34.0,73.53,1.0,1.0,23,0,22.64
10,2017,11.0,12.0,40.115,NWE,1.0,MIA,28.0,64.29,1.0,5.0,27,0,22.68
11,2017,13.0,14.0,40.13,NWE,0.0,MIA,43.0,55.81,2.0,0.0,27,0,9.32
12,2017,12.0,13.0,40.122,NWE,0.0,BUF,30.0,70.0,3.0,0.0,18,0,8.32
13,2017,15.0,16.0,40.143,NWE,1.0,BUF,28.0,75.0,2.0,2.0,18,0,15.56
14,2017,14.0,15.0,40.136,NWE,0.0,PIT,35.0,62.86,2.0,2.0,7,0,13.72
15,2018,1.0,1.0,41.037,NWE,1.0,HOU,39.0,66.67,2.0,1.0,4,1,22.279999999999998
16,2018,2.0,2.0,41.044,NWE,0.0,JAX,35.0,68.57,2.0,3.0,4,0,18.36
17,2018,3.0,3.0,41.051,NWE,0.0,DET,26.0,53.85,2.0,1.0,16,1,8.52
18,2018,4.0,4.0,41.058,NWE,1.0,MIA,35.0,65.71,0.0,0.0,27,0,18.96
19,2018,13.0,14.0,41.128,NWE,0.0,MIA,43.0,62.79,2.0,1.0,27,0,26.62
20,2018,5.0,5.0,41.062,NWE,1.0,IND,44.0,77.27,0.0,3.0,10,1,28.54
21,2018,6.0,6.0,41.072,NWE,1.0,KAN,35.0,68.57,2.0,3.0,24,0,23.8
22,2018,7.0,7.0,41.079,NWE,0.0,CHI,36.0,69.44,1.0,1.0,1,0,21.68
23,2018,8.0,8.0,41.087,NWE,0.0,BUF,45.0,64.44,2.0,1.0,18,0,13.760000000000002
24,2018,15.0,16.0,41.142,NWE,1.0,BUF,24.0,54.17,1.0,0.0,18,0,5.039999999999999
25,2018,9.0,9.0,41.093,NWE,1.0,GNB,35.0,62.86,2.0,5.0,22,0,15.66
26,2018,10.0,10.0,41.1,NWE,0.0,TEN,41.0,51.22,3.0,1.0,3,0,11.76
27,2018,11.0,12.0,41.114,NWE,0.0,NYJ,31.0,64.52,0.0,1.0,29,0,19.22
28,2018,16.0,17.0,41.149,NWE,1.0,NYJ,33.0,72.73,1.0,0.0,29,0,26.0
29,2018,12.0,13.0,41.121,NWE,1.0,MIN,32.0,75.0,0.0,2.0,9,1,15.939999999999998
30,2018,14.0,15.0,41.135,NWE,0.0,PIT,36.0,69.44,1.0,0.0,16,0,13.16
31,2019,1.0,1.0,42.036,NWE,1.0,PIT,36.0,66.67,1.0,0.0,5,0,25.64
32,2019,2.0,2.0,42.043,NWE,0.0,MIA,28.0,71.43,2.0,2.0,32,0,24.660000000000004
33,2019,16.0,17.0,42.148,NWE,1.0,MIA,29.0,55.17,1.0,0.0,32,0,14.84
34,2019,3.0,3.0,42.05,NWE,1.0,NYJ,42.0,66.67,0.0,2.0,16,0,20.14
35,2019,7.0,7.0,42.079,NWE,0.0,NYJ,45.0,68.89,0.0,0.0,16,0,11.96
36,2019,4.0,4.0,42.057,NWE,0.0,BUF,39.0,46.15,0.0,3.0,2,0,3.7
37,2019,15.0,16.0,42.14,NWE,1.0,BUF,33.0,78.79,0.0,4.0,2,0,15.24
38,2019,5.0,5.0,42.064,NWE,0.0,WAS,42.0,66.67,4.0,0.0,27,0,23.92
39,2019,6.0,6.0,42.068,NWE,1.0,NYG,41.0,75.61,3.0,7.0,30,0,23.96
40,2019,8.0,8.0,42.085,NWE,1.0,CLE,36.0,55.56,3.0,0.0,20,0,18.36
41,2019,9.0,9.0,42.092,NWE,0.0,BAL,46.0,65.22,2.0,0.0,3,0,13.4
42,2019,10.0,11.0,42.106,NWE,0.0,PHI,47.0,55.32,1.0,1.0,15,0,8.540000000000001
43,2019,11.0,12.0,42.113,NWE,1.0,DAL,37.0,45.95,2.0,2.0,11,1,12.299999999999999
44,2019,12.0,13.0,42.12,NWE,0.0,HOU,47.0,51.06,3.0,1.0,19,1,25.34
45,2019,13.0,14.0,42.127,NWE,1.0,KAN,36.0,52.78,3.0,2.0,7,0,10.76
46,2019,14.0,15.0,42.134,NWE,0.0,CIN,29.0,51.72,2.0,2.0,25,0,12.920000000000002
47,2020,1.0,1.0,43.041,TAM,0.0,NOR,36.0,63.89,3.0,3.0,5,1,21.46
48,2020,9.0,9.0,43.097,TAM,1.0,NOR,38.0,57.89,3.0,0.0,5,1,3.3599999999999994
49,2020,2.0,2.0,43.048,TAM,1.0,CAR,35.0,65.71,0.0,1.0,18,0,10.68
50,2020,10.0,10.0,43.104,TAM,0.0,CAR,39.0,71.79,1.0,2.0,18,0,31.84
51,2020,3.0,3.0,43.055,TAM,0.0,DEN,38.0,65.79,2.0,5.0,25,0,23.880000000000003
52,2020,4.0,4.0,43.062,TAM,1.0,LAC,46.0,65.22,0.0,3.0,22,1,33.46
53,2020,5.0,5.0,43.066,TAM,0.0,CHI,41.0,60.98,3.0,3.0,12,0,14.12
54,2020,6.0,6.0,43.076,TAM,1.0,GNB,27.0,62.96,0.0,0.0,15,0,14.64
55,2020,7.0,7.0,43.083,TAM,0.0,LVR,45.0,73.33,0.0,1.0,29,1,37.86
56,2020,8.0,8.0,43.091,TAM,0.0,NYG,40.0,70.0,2.0,1.0,8,0,19.06
57,2020,11.0,11.0,43.112,TAM,1.0,LAR,48.0,54.17,1.0,0.0,1,1,13.64
58,2020,12.0,12.0,43.118,TAM,1.0,KAN,41.0,65.85,1.0,1.0,10,0,21.7
59,2020,13.0,14.0,43.132,TAM,1.0,MIN,23.0,65.22,0.0,3.0,30,1,16.64
60,2020,14.0,15.0,43.139,TAM,0.0,ATL,45.0,68.89,3.0,2.0,19,1,24.400000000000002
61,2020,16.0,17.0,43.153,TAM,1.0,ATL,41.0,63.41,1.0,5.0,19,1,31.26
62,2020,15.0,16.0,43.145,TAM,0.0,DET,27.0,81.48,1.0,0.0,32,1,30.92
63,2021,1.0,1.0,44.037,TAM,1.0,DAL,50.0,64.0,0.0,0.0,7,1,28.16
64,2021,2.0,2.0,44.047,TAM,1.0,ATL,36.0,66.67,3.0,1.0,29,1,32.64
65,2021,12.0,13.0,44.124,TAM,0.0,ATL,51.0,74.51,0.0,1.0,29,1,29.619999999999997
66,2021,3.0,3.0,44.054,TAM,0.0,LAR,55.0,74.55,3.0,3.0,15,1,29.68
67,2021,4.0,4.0,44.061,TAM,0.0,NWE,43.0,51.16,1.0,4.0,2,0,11.06
68,2021,5.0,5.0,44.068,TAM,1.0,MIA,41.0,73.17,2.0,1.0,16,0,37.739999999999995
69,2021,6.0,6.0,44.072,TAM,0.0,PHI,42.0,80.95,0.0,4.0,18,0,17.980000000000004
70,2021,7.0,7.0,44.082,TAM,1.0,CHI,36.0,55.56,0.0,0.0,22,0,24.439999999999998
71,2021,8.0,8.0,44.089,TAM,0.0,NOR,40.0,70.0,3.0,1.0,4,1,28.2
72,2021,14.0,15.0,44.138,TAM,1.0,NOR,48.0,54.17,4.0,1.0,4,1,7.760000000000001
73,2021,9.0,10.0,44.103,TAM,0.0,WAS,34.0,67.65,0.0,1.0,25,0,13.0
74,2021,10.0,11.0,44.111,TAM,1.0,NYG,46.0,65.22,0.0,1.0,23,0,19.28
75,2021,11.0,12.0,44.117,TAM,0.0,IND,34.0,73.53,2.0,2.0,9,1,12.239999999999998
76,2021,13.0,14.0,44.131,TAM,1.0,BUF,46.0,67.39,2.0,7.0,1,0,30.12
77,2021,15.0,16.0,44.145,TAM,0.0,CAR,30.0,60.0,0.0,1.0,21,0,14.379999999999999
78,2021,17.0,18.0,44.159,TAM,1.0,CAR,37.0,78.38,1.0,0.0,21,0,25.04
79,2021,16.0,17.0,44.152,TAM,0.0,NYJ,50.0,68.0,1.0,0.0,32,0,26.4
80,2022,1.0,1.0,45.039,TAM,0.0,DAL,27.0,66.67,2.0,2.0,8,1,11.38
81,2022,2.0,2.0,45.046,TAM,0.0,NOR,34.0,52.94,1.0,3.0,19,1,12.4
