Rk,Year,Date,G#,Week,Age,Tm,Home,Opp,Cmp,Att,Cmp%,Yds,TD_left,Int,Rate,Sk,Sk_Yds,Y/A,AY/A,Ru_Att,Ru_Yds,Ru_Y/A,Ru_TB,Re_Tgt,Re_Rec,Re_Yds,Re_Y/R,Re_TD,Re_Ctch%,Re_Y/Tgt,Total_NP_TD,Pts,Fmb,FL,Dome,Total,RANK,NAME,PTS,FPTS,SACKS,INT,TO,PTS.1,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD_right,RZ ATT,RZ TD,RZ TD%,1D,3D%,4D%
273.0,2017,2017-09-07,1.0,1.0,40.035,NWE,1.0,KAN,16.0,36.0,44.44,267.0,0.0,0.0,70.0,3.0,20.0,7.42,7.42,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,10.68,15,KAN,18,1115,31,16,26,339,1044,5842,3952,570,325,23,1890,443,15,39,51,28,54.9,352,40.1,52.9
274.0,2017,2017-09-17,2.0,2.0,40.045,NWE,0.0,NOR,30.0,39.0,76.92,447.0,3.0,0.0,139.6,2.0,11.0,11.46,13.0,2.0,9.0,4.5,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,31.779999999999998,10,NOR,18,1028,42,20,25,326,1002,5384,3597,554,329,22,1787,406,11,36,48,25,52.1,308,41.0,33.3
275.0,2017,2017-09-24,3.0,3.0,40.052,NWE,1.0,HOU,25.0,35.0,71.43,378.0,5.0,0.0,146.2,5.0,41.0,10.8,13.66,1.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,3.0,1.0,1,36.72,32,HOU,26,1206,32,11,16,436,973,5546,3799,501,321,30,1747,440,14,48,54,33,61.1,301,35.3,62.5
276.0,2017,2017-10-01,4.0,4.0,40.059,NWE,1.0,CAR,32.0,45.0,71.11,307.0,2.0,0.0,104.6,3.0,14.0,6.82,7.71,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,20.48,11,CAR,6,1027,50,10,21,327,953,5074,3665,550,351,25,1409,353,7,34,44,21,47.7,282,37.9,35.0
277.0,2017,2017-10-05,5.0,5.0,40.063,NWE,0.0,TAM,30.0,40.0,75.0,303.0,1.0,1.0,94.1,3.0,14.0,7.58,6.95,2.0,5.0,2.5,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,1.0,0,14.619999999999997,23,TAM,24,1165,22,13,26,382,1011,6049,4169,549,371,22,1880,440,18,44,53,29,54.7,327,48.1,22.2
278.0,2017,2017-10-15,6.0,6.0,40.073,NWE,0.0,NYJ,20.0,38.0,52.63,257.0,2.0,1.0,80.7,0.0,0.0,6.76,6.63,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,16.18,23,NYJ,0,1157,28,11,20,382,1052,5636,3749,558,329,30,1887,466,13,46,52,29,55.8,329,37.1,45.5
288.0,2017,2017-12-31,16.0,17.0,40.15,NWE,1.0,NYJ,18.0,37.0,48.65,190.0,2.0,0.0,82.0,2.0,12.0,5.14,6.22,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,15.6,23,NYJ,0,1157,28,11,20,382,1052,5636,3749,558,329,30,1887,466,13,46,52,29,55.8,329,37.1,45.5
279.0,2017,2017-10-22,7.0,7.0,40.08,NWE,1.0,ATL,21.0,29.0,72.41,249.0,2.0,0.0,121.2,2.0,8.0,8.59,9.97,5.0,5.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,1,19.46,8,ATL,12,1005,39,8,16,315,994,5094,3429,553,362,22,1665,402,9,33,48,22,45.8,323,38.3,68.4
280.0,2017,2017-10-29,8.0,8.0,40.086999999999996,NWE,1.0,LAC,32.0,47.0,68.09,333.0,1.0,0.0,95.4,3.0,16.0,7.09,7.51,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,18.52,3,LAC,18,931,43,18,27,272,997,5254,3156,524,329,17,2098,430,11,29,36,13,36.1,282,38.9,30.0
281.0,2017,2017-11-12,9.0,10.0,40.101,NWE,0.0,DEN,25.0,34.0,73.53,266.0,3.0,0.0,125.4,1.0,6.0,7.82,9.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,22.64,23,DEN,24,1020,33,10,17,382,952,4640,3210,491,294,29,1430,428,9,44,41,24,58.5,266,31.6,33.3
283.0,2017,2017-11-26,11.0,12.0,40.115,NWE,1.0,MIA,18.0,28.0,64.29,227.0,4.0,1.0,114.1,1.0,6.0,8.11,9.36,5.0,-4.0,-0.8,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,1.0,0,22.68,27,MIA,22,1118,29,9,15,387,989,5371,3603,528,339,26,1768,431,14,44,51,32,62.7,319,36.9,25.0
285.0,2017,2017-12-11,13.0,14.0,40.13,NWE,0.0,MIA,24.0,43.0,55.81,233.0,1.0,2.0,59.5,2.0,10.0,5.42,3.79,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,9.32,27,MIA,22,1118,29,9,15,387,989,5371,3603,528,339,26,1768,431,14,44,51,32,62.7,319,36.9,25.0
284.0,2017,2017-12-03,12.0,13.0,40.122,NWE,0.0,BUF,21.0,30.0,70.0,258.0,0.0,1.0,82.4,3.0,14.0,8.6,7.1,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,8.32,18,BUF,18,1068,26,18,25,359,1066,5682,3688,573,370,14,1994,466,22,38,57,30,52.6,348,38.3,55.0
287.0,2017,2017-12-24,15.0,16.0,40.143,NWE,1.0,BUF,21.0,28.0,75.0,224.0,2.0,1.0,106.8,2.0,6.0,8.0,7.82,2.0,6.0,3.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,15.56,18,BUF,18,1068,26,18,25,359,1066,5682,3688,573,370,14,1994,466,22,38,57,30,52.6,348,38.3,55.0
286.0,2017,2017-12-17,14.0,15.0,40.135999999999996,NWE,0.0,PIT,22.0,35.0,62.86,298.0,1.0,1.0,87.6,2.0,15.0,8.51,7.8,2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,13.72,7,PIT,2,951,56,16,22,308,940,4910,3217,499,297,20,1693,385,14,36,39,24,61.5,270,36.2,31.6
289.0,2018,2018-09-09,1.0,1.0,41.037,NWE,1.0,HOU,26.0,39.0,66.67,277.0,3.0,1.0,102.2,2.0,10.0,7.1,7.49,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,22.279999999999998,4,HOU,24,1085,43,15,29,316,1022,5490,4167,594,385,28,1323,385,8,36,41,29,70.7,298,40.1,60.0
290.0,2018,2018-09-16,2.0,2.0,41.044,NWE,0.0,JAX,24.0,35.0,68.57,234.0,2.0,0.0,106.1,2.0,14.0,6.69,7.83,3.0,10.0,3.33,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,1.0,0,18.36,4,JAX,16,966,37,11,17,316,970,4983,3113,499,312,17,1870,434,16,34,47,24,51.1,288,37.7,25.0
291.0,2018,2018-09-23,3.0,3.0,41.051,NWE,0.0,DET,14.0,26.0,53.85,133.0,1.0,1.0,65.1,2.0,13.0,5.12,4.15,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,8.52,16,DET,12,1103,43,7,14,360,942,5360,3599,496,323,29,1761,403,11,44,47,27,57.4,315,37.1,52.9
292.0,2018,2018-09-30,4.0,4.0,41.058,NWE,1.0,MIA,23.0,35.0,65.71,274.0,3.0,2.0,94.2,0.0,0.0,7.83,6.97,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,18.96,27,MIA,18,1259,31,21,28,433,1024,6257,3932,508,335,31,2325,485,17,52,61,37,60.7,350,42.9,40.0
301.0,2018,2018-12-09,13.0,14.0,41.128,NWE,0.0,MIA,27.0,43.0,62.79,358.0,3.0,0.0,112.4,2.0,14.0,8.33,9.72,1.0,3.0,3.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,26.62,27,MIA,18,1259,31,21,28,433,1024,6257,3932,508,335,31,2325,485,17,52,61,37,60.7,350,42.9,40.0
293.0,2018,2018-10-04,5.0,5.0,41.062,NWE,1.0,IND,34.0,44.0,77.27,341.0,3.0,2.0,102.6,0.0,0.0,7.75,7.07,3.0,-1.0,-0.33,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,0.0,0.0,1,28.54,10,IND,0,1047,38,15,26,344,995,5431,3805,542,384,21,1626,415,12,37,43,23,53.5,315,41.0,46.7
294.0,2018,2018-10-14,6.0,6.0,41.071999999999996,NWE,1.0,KAN,24.0,35.0,68.57,340.0,1.0,0.0,109.2,2.0,13.0,9.71,10.29,3.0,2.0,0.67,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,2.0,1.0,0,23.8,24,KAN,24,1298,52,15,27,421,1109,6488,4374,632,406,30,2114,425,19,51,58,42,72.4,419,41.5,66.7
295.0,2018,2018-10-21,7.0,7.0,41.07899999999999,NWE,0.0,CHI,25.0,36.0,69.44,277.0,3.0,1.0,108.2,1.0,4.0,7.69,8.11,1.0,6.0,6.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,21.68,1,CHI,38,901,50,27,36,283,1004,4795,3515,615,377,22,1280,339,5,30,40,20,50.0,278,34.2,57.1
296.0,2018,2018-10-29,8.0,8.0,41.086999999999996,NWE,0.0,BUF,29.0,45.0,64.44,324.0,0.0,0.0,85.8,2.0,13.0,7.2,7.2,1.0,8.0,8.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,0,13.760000000000002,18,BUF,2,963,36,16,27,374,968,4706,2867,492,313,22,1839,440,17,44,48,34,70.8,293,36.5,54.5
303.0,2018,2018-12-23,15.0,16.0,41.141999999999996,NWE,1.0,BUF,13.0,24.0,54.17,126.0,1.0,2.0,48.3,1.0,9.0,5.25,2.33,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,5.039999999999999,18,BUF,2,963,36,16,27,374,968,4706,2867,492,313,22,1839,440,17,44,48,34,70.8,293,36.5,54.5
297.0,2018,2018-11-04,9.0,9.0,41.093,NWE,1.0,GNB,22.0,35.0,62.86,294.0,1.0,0.0,99.0,2.0,21.0,8.4,8.97,5.0,-1.0,-0.2,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,15.66,22,GNB,6,1195,44,7,15,400,1017,5670,3752,527,336,30,1918,446,15,47,56,34,60.7,331,37.3,66.7
298.0,2018,2018-11-11,10.0,10.0,41.1,NWE,0.0,TEN,21.0,41.0,51.22,254.0,0.0,0.0,70.6,3.0,23.0,6.2,6.2,1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,,6.0,0.0,0.0,0.0,0.0,0,11.76,3,TEN,12,1013,39,11,17,303,1001,5334,3471,533,337,21,1863,429,9,32,47,21,44.7,298,36.6,55.0
299.0,2018,2018-11-25,11.0,12.0,41.114,NWE,0.0,NYJ,20.0,31.0,64.52,283.0,2.0,0.0,115.4,0.0,0.0,9.13,10.42,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,19.22,29,NYJ,18,1270,39,13,20,441,1061,6086,4065,582,367,29,2021,440,17,49,59,31,52.5,343,33.8,64.3
304.0,2018,2018-12-30,16.0,17.0,41.148999999999994,NWE,1.0,NYJ,24.0,33.0,72.73,250.0,4.0,0.0,133.8,1.0,6.0,7.58,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,26.0,29,NYJ,18,1270,39,13,20,441,1061,6086,4065,582,367,29,2021,440,17,49,59,31,52.5,343,33.8,64.3
300.0,2018,2018-12-02,12.0,13.0,41.121,NWE,1.0,MIN,24.0,32.0,75.0,311.0,1.0,1.0,102.5,0.0,0.0,9.72,8.94,2.0,5.0,2.5,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,1,15.939999999999998,9,MIN,18,946,50,12,20,341,993,4955,3140,503,315,15,1815,440,13,34,49,22,44.9,303,30.5,47.4
302.0,2018,2018-12-16,14.0,15.0,41.135,NWE,0.0,PIT,25.0,36.0,69.44,279.0,1.0,1.0,89.9,1.0,7.0,7.75,7.06,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,13.16,16,PIT,22,1097,52,8,15,360,987,5235,3697,566,362,27,1538,369,13,42,49,29,59.2,317,36.5,53.8
305.0,2019,2019-09-08,1.0,1.0,42.036,NWE,1.0,PIT,24.0,36.0,66.67,341.0,3.0,0.0,124.9,1.0,7.0,9.47,11.14,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,25.64,5,PIT,18,918,54,20,38,303,1030,4866,3113,514,314,23,1753,462,7,32,46,23,50.0,304,36.4,47.6
306.0,2019,2019-09-15,2.0,2.0,42.043,NWE,0.0,MIA,20.0,28.0,71.43,264.0,2.0,0.0,124.7,2.0,9.0,9.43,10.86,2.0,1.0,0.5,1.0,0.0,0.0,0.0,,0.0,,,1.0,6.0,0.0,0.0,0,24.660000000000004,32,MIA,8,1404,23,13,16,494,1053,6364,4198,545,344,39,2166,485,15,57,59,37,62.7,361,41.8,61.5
320.0,2019,2019-12-29,16.0,17.0,42.148,NWE,1.0,MIA,16.0,29.0,55.17,221.0,2.0,1.0,88.4,1.0,4.0,7.62,7.45,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,14.84,32,MIA,8,1404,23,13,16,494,1053,6364,4198,545,344,39,2166,485,15,57,59,37,62.7,361,41.8,61.5
307.0,2019,2019-09-22,3.0,3.0,42.05,NWE,1.0,NYJ,28.0,42.0,66.67,306.0,2.0,0.0,103.9,0.0,0.0,7.29,8.24,2.0,-1.0,-0.5,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,20.14,16,NYJ,34,1073,35,12,21,359,1037,5170,3779,585,363,25,1391,417,12,39,48,26,54.2,302,39.1,25.0
311.0,2019,2019-10-21,7.0,7.0,42.07899999999999,NWE,0.0,NYJ,31.0,45.0,68.89,249.0,1.0,1.0,80.7,0.0,0.0,5.53,4.98,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,11.96,16,NYJ,34,1073,35,12,21,359,1037,5170,3779,585,363,25,1391,417,12,39,48,26,54.2,302,39.1,25.0
308.0,2019,2019-09-29,4.0,4.0,42.056999999999995,NWE,0.0,BUF,18.0,39.0,46.15,150.0,0.0,1.0,45.9,0.0,0.0,3.85,2.69,3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,3.7,2,BUF,2,857,44,14,23,259,985,4772,3123,553,348,15,1649,388,12,30,43,24,55.8,295,35.8,38.1
319.0,2019,2019-12-21,15.0,16.0,42.14,NWE,1.0,BUF,26.0,33.0,78.79,271.0,1.0,0.0,111.0,0.0,0.0,8.21,8.82,4.0,4.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,15.24,2,BUF,2,857,44,14,23,259,985,4772,3123,553,348,15,1649,388,12,30,43,24,55.8,295,35.8,38.1
309.0,2019,2019-10-06,5.0,5.0,42.06399999999999,NWE,0.0,WAS,28.0,42.0,66.67,348.0,3.0,1.0,106.1,4.0,36.0,8.29,8.64,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0,23.92,27,WAS,0,1282,46,13,22,435,1079,6162,3823,540,371,35,2339,493,14,52,59,36,61.0,354,48.9,63.2
310.0,2019,2019-10-10,6.0,6.0,42.068000000000005,NWE,1.0,NYG,31.0,41.0,75.61,334.0,0.0,1.0,88.9,3.0,21.0,8.15,7.05,7.0,6.0,0.86,2.0,0.0,0.0,0.0,,0.0,,,2.0,12.0,2.0,1.0,0,23.96,30,NYG,14,1281,36,10,16,451,1061,6037,4225,556,369,30,1812,469,19,54,54,31,57.4,343,39.8,57.1
